R4A_Id	CompoundID	PLD_Effect(%)_A549-ACE2	Label_A549-ACE2	HIT_Phospholipidosis  Y/N	CompoundID_dupl	NAME	PLD_Effect(%)_VERO-E6	Label_VERO-E6
R4A_0002962_001	SPE_K17849083	-0.029270235	inactive	N	SPE_K17849083	TRANILAST	-9.61	inactive
R4A_0005049_001	SPE_K68756823	0.0195564	inactive	N	SPE_K68756823	FR-180204	-4.37	inactive
R4A_0005028_001	SPE_K45861246	-0.018145058	inactive	N	SPE_K45861246	AZAPERONE	2.76	inactive
R4A_0003464_001	SPE_K38158531	-0.108510872	inactive	N	SPE_K38158531	CP 101606	-7	inactive
R4A_0003924_001	SPE_K13944729	-0.105712224	inactive	N	SPE_K13944729	AA-29504	0.41	inactive
R4A_0002358_001	SPE_A06390036	-0.074276602	inactive	N	SPE_A06390036	HYDROQUINIDINE	6.8	inactive
R4A_0001715_001					SPE_K42504537	Norgestimate metabolite Norelgestromin	-0.74	inactive
R4A_0004876_001	SPE_K87691185	0.077086213	inactive	N	SPE_K87691185	FPS-ZM1	-0.41	inactive
R4A_0000283_001	SPE_K10974103	-0.011285425	inactive	N	SPE_K10974103	DILOXANIDE FUROATE	-2.6	inactive
R4A_0002914_001	SPE_K03273112	-0.158048638	inactive	N	SPE_K03273112	1-Azakenpaullone	3.76	inactive
R4A_0001748_001					SPE_A41840684		-10.78	inactive
R4A_0005269_001	SPE_K04176066	0.011044081	inactive	N	SPE_K04176066	BERGENIN	-0.33	inactive
R4A_0001558_001	SPE_K28010364	-0.028660867	inactive	N	SPE_K28010364	PFK-158	-2.62	inactive
R4A_0001601_001	SPE_K51137250	-0.062814898	inactive	N	SPE_K51137250	ML-297	-2.49	inactive
R4A_0001563_001	SPE_K82823804	0.025333988	inactive	N	SPE_K82823804	PD-407824	-0.49	inactive
R4A_0004398_001					SPE_A23195370	NALOXONE HYDROCHLORIDE	-3.91	inactive
R4A_0003546_001	SPE_K85406984	-0.185983421	inactive	N	SPE_K85406984	sobetirome	-1.53	inactive
